TCG region,Expansion,Card number,Card number sorting order,Card name,Rarity,Card variant,Card language,Card condition,Note,Quantity
International,Journey Together,001/159,1,Caterpie,Common,Normal,English,Near Mint,,1
International,Journey Together,002/159,2,Metapod,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,003/159,3,Butterfree,Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,006/159,6,Petilil,Common,Normal,English,Near Mint,,2
International,Journey Together,006/159,6,Petilil,Common,Normal,English,Near Mint,,1
International,Journey Together,009/159,9,Karrablast,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,010/159,10,Foongus,Common,Normal,English,Near Mint,,1
International,Journey Together,012/159,12,Shelmet,Common,Normal,English,Near Mint,,2
International,Journey Together,013/159,13,Accelgor,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,013/159,13,Accelgor,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,015/159,15,Virizion,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,017/159,17,Floragato,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,019/159,19,Nymble,Common,Normal,English,Near Mint,,1
International,Journey Together,020/159,20,Magmar,Common,Normal,English,Near Mint,,1
International,Journey Together,023/159,23,Combusken,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,026/159,26,N's Darumaka,Common,Normal,English,Near Mint,,1
International,Journey Together,027/159,27,N's Darmanitan,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,032/159,32,Articuno,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,035/159,35,Lotad,Common,Normal,English,Near Mint,,1
International,Journey Together,036/159,36,Lombre,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,040/159,40,Wailmer,Common,Normal,English,Near Mint,,1
International,Journey Together,042/159,42,Regice,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,043/159,43,Veluza ex,Double Rare,Normal Holo,English,Near Mint,,1
International,Journey Together,044/159,44,Alolan Geodude,Common,Normal,English,Near Mint,,3
International,Journey Together,046/159,46,Alolan Golem,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,047/159,47,Iono's Voltorb,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,048/159,48,Iono's Electrode,Uncommon,Normal,English,Near Mint,,2
International,Journey Together,052/159,52,Iono's Tadbulb,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,057/159,57,Alolan Marowak,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,057/159,57,Alolan Marowak,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,059/159,59,Shuppet,Common,Normal,English,Near Mint,,2
International,Journey Together,060/159,60,Banette,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,060/159,60,Banette,Uncommon,Normal,English,Near Mint,,1
International,Journey Together,061/159,61,Beldum,Common,Normal,English,Near Mint,,1
International,Journey Together,062/159,62,Metang,Common,Normal,English,Near Mint,,1
International,Journey Together,062/159,62,Metang,Common,Reverse Holo,English,Near Mint,,1
International,Journey Together,063/159,63,Metagross,Rare,Reverse Holo,English,Near Mint,,1
